coluna,status,motivo,tipo_feature
CO_MUNICIPIO_ESC,usada,Feature permitida no desenho do experimento.,direta_comparavel
CO_MUNICIPIO_PROVA,usada,Feature permitida no desenho do experimento.,direta_comparavel
CO_UF_ESC,usada,Feature permitida no desenho do experimento.,direta_comparavel
CO_UF_PROVA,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
IN_TREINEIRO,removida,Fora da lista de features definida para o experimento.,nao_usada
NO_MUNICIPIO_ESC,usada,Feature permitida no desenho do experimento.,direta_comparavel
NO_MUNICIPIO_PROVA,usada,Feature permitida no desenho do experimento.,direta_comparavel
NU_ANO,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_INSCRICAO,removida,Fora da lista de features definida para o experimento.,nao_usada
NU_NOTA_CH,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_NOTA_CN,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_NOTA_COMP1,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_NOTA_COMP2,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_NOTA_COMP3,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_NOTA_COMP4,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_NOTA_COMP5,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_NOTA_LC,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_NOTA_MT,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
NU_NOTA_REDACAO,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
Q001,removida,Fora da lista de features definida para o experimento.,nao_usada
Q002,removida,Fora da lista de features definida para o experimento.,nao_usada
Q003,removida,Fora da lista de features definida para o experimento.,nao_usada
Q004,removida,Fora da lista de features definida para o experimento.,nao_usada
Q005,removida,Fora da lista de features definida para o experimento.,nao_usada
Q006,removida,Fora da lista de features definida para o experimento.,nao_usada
Q007,removida,Fora da lista de features definida para o experimento.,nao_usada
Q008,removida,Fora da lista de features definida para o experimento.,nao_usada
Q009,removida,Fora da lista de features definida para o experimento.,nao_usada
Q010,removida,Fora da lista de features definida para o experimento.,nao_usada
Q011,removida,Fora da lista de features definida para o experimento.,nao_usada
Q012,removida,Fora da lista de features definida para o experimento.,nao_usada
Q013,removida,Fora da lista de features definida para o experimento.,nao_usada
Q014,removida,Fora da lista de features definida para o experimento.,nao_usada
Q015,removida,Fora da lista de features definida para o experimento.,nao_usada
Q016,removida,Fora da lista de features definida para o experimento.,nao_usada
Q017,removida,Fora da lista de features definida para o experimento.,nao_usada
Q018,removida,Fora da lista de features definida para o experimento.,nao_usada
Q019,removida,Fora da lista de features definida para o experimento.,nao_usada
Q020,removida,Fora da lista de features definida para o experimento.,nao_usada
Q021,removida,Fora da lista de features definida para o experimento.,nao_usada
Q022,removida,Fora da lista de features definida para o experimento.,nao_usada
Q023,removida,Fora da lista de features definida para o experimento.,nao_usada
Q024,removida,Fora da lista de features definida para o experimento.,nao_usada
Q025,removida,Fora da lista de features definida para o experimento.,nao_usada
SG_UF_ESC,usada,Feature permitida no desenho do experimento.,direta_comparavel
SG_UF_PROVA,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
TP_ANO_CONCLUIU,removida,Fora da lista de features definida para o experimento.,nao_usada
TP_COR_RACA,removida,Fora da lista de features definida para o experimento.,nao_usada
TP_DEPENDENCIA_ADM_ESC,usada,Feature permitida no desenho do experimento.,direta_comparavel
TP_ENSINO,removida,Fora da lista de features definida para o experimento.,nao_usada
TP_ESCOLA,removida,Fora da lista de features definida para o experimento.,nao_usada
TP_ESTADO_CIVIL,removida,Fora da lista de features definida para o experimento.,nao_usada
TP_FAIXA_ETARIA,removida,Fora da lista de features definida para o experimento.,nao_usada
TP_LOCALIZACAO_ESC,usada,Feature permitida no desenho do experimento.,direta_comparavel
TP_NACIONALIDADE,removida,Fora da lista de features definida para o experimento.,nao_usada
TP_PRESENCA_CH,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
TP_PRESENCA_CN,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
TP_PRESENCA_LC,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
TP_PRESENCA_MT,removida,"Vazamento, target, presença, nota, resposta, gabarito, prova ou identificador.",nao_usada
TP_SEXO,removida,Fora da lista de features definida para o experimento.,nao_usada
TP_SIT_FUNC_ESC,usada,Feature permitida no desenho do experimento.,direta_comparavel
TP_ST_CONCLUSAO,removida,Fora da lista de features definida para o experimento.,nao_usada
agg_IN_TREINEIRO_0,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_IN_TREINEIRO_1,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_A,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_B,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_C,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_D,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_E,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_F,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_G,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_H,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_I,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_J,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_K,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_L,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_M,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_N,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_O,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_P,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_Q006_Q,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_COR_RACA_0,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_COR_RACA_1,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_COR_RACA_2,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_COR_RACA_3,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_COR_RACA_4,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_COR_RACA_5,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_ENSINO_1.0,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_ENSINO_2.0,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_ENSINO_NA,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_1,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_10,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_11,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_12,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_13,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_14,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_15,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_16,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_17,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_18,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_19,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_2,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_20,usada,Feature permitida no desenho do experimento.,agregado_municipal
agg_TP_FAIXA_ETARIA_3,usada,Feature permitida no desenho do experimento.,agregado_municipal
